turker,adjective,response,mean,onestdev,respdev,had_negative
T_1197638,little,6299.0,7230.0,470.0,1.98085106383,hadNeg
T_1197638,big,4500.0,3420.0,420.0,2.57142857143,hadNeg
T_1197638,favorable,5000.0,4560.0,280.0,1.57142857143,hadNeg
T_1197638,legitimate,10500.0,10140.0,215.0,1.67441860465,hadNeg
T_1197638,sizable,3000.0,2170.0,425.0,1.95294117647,hadNeg
T_1197638,tiny,275.0,490.0,110.0,1.95454545455,hadNeg
T_1197638,extraordinary,3350.0,2190.0,180.0,6.44444444444,hadNeg
T_1197638,weak,9010.0,9000.0,50.0,0.2,hadNeg
T_1197638,striking,7500.0,6320.0,265.0,4.45283018868,hadNeg
T_1197638,rich,2575.0,2170.0,205.0,1.9756097561,hadNeg
T_1197638,dramatic,9500.0,7810.0,405.0,4.17283950617,hadNeg
T_1197638,fine,4900.0,4290.0,460.0,1.32608695652,hadNeg
T_1197638,modest,6700.0,6500.0,5.0,40.0,hadNeg
T_1197638,important,6000.0,5380.0,165.0,3.75757575758,hadNeg
T_1197638,unlikely,3800.0,2660.0,85.0,13.4117647059,hadNeg
T_1197638,prominent,2500.0,2380.0,55.0,2.18181818182,hadNeg
T_1197638,competitive,8050.0,7750.0,100.0,3.0,hadNeg
T_1197638,good,6200.0,6090.0,105.0,1.04761904762,hadNeg
T_1197638,critical,10800.0,9950.0,470.0,1.8085106383,hadNeg
T_6453084,relative,1750.0,1620.0,215.0,0.604651162791,noNog
T_6453084,little,3400.0,3340.0,435.0,0.137931034483,noNog
T_6453084,big,5300.0,4970.0,335.0,0.985074626866,noNog
T_6453084,favorable,8100.0,7820.0,365.0,0.767123287671,noNog
T_6453084,legitimate,6060.0,6040.0,15.0,1.33333333333,noNog
T_6453084,sizable,9500.0,9380.0,115.0,1.04347826087,noNog
T_6453084,tiny,4550.0,4490.0,445.0,0.134831460674,noNog
T_6453084,extraordinary,1300.0,800.0,350.0,1.42857142857,noNog
T_6453084,weak,9400.0,9310.0,140.0,0.642857142857,noNog
T_6453084,striking,8500.0,8210.0,195.0,1.48717948718,noNog
T_6453084,rich,8700.0,8320.0,465.0,0.817204301075,noNog
T_6453084,dramatic,7900.0,7290.0,410.0,1.48780487805,noNog
T_6453084,fine,3000.0,2700.0,295.0,1.01694915254,noNog
T_6453084,modest,9700.0,9320.0,320.0,1.1875,noNog
