turker,adjective,mean,onestdev,had_negative,logrespdev
T_4525111,poor,1980,435,noNog,-2.38646657697481
T_1562652,big,2660,85,noNog,1.03798766685001
T_6468097,little,1870,55,noNog,-0.606135803569482
T_8742789,low,4210,265,noNog,-1.1977031913117802
T_6468097,prominent,8910,150,noNog,0.65924562888254
T_1857101,sensitive,8040,305,noNog,-2.164963715115
T_6876899,likely,3250,230,noNog,-1.7491998548107601
T_2427075,low,9880,275,noNog,-1.11696142733547
T_4525111,usual,900,115,noNog,-0.36290549368943104
T_9040925,extraordinary,3840,375,noNog,0.40101075775655204
T_216082,appropriate,2730,430,noNog,-0.465363249689529
T_3329879,surprising,7980,65,noNog,0.613104472884326
T_94744,weak,2560,290,noNog,-5.669880922980161
T_4211578,aggressive,3990,385,noNog,0.46021562288236
T_1058423,bullish,8380,15,noNog,0.287682072449281
T_143993,sound,5630,160,noNog,-0.0645385211375709
T_792249,typical,6100,345,noNog,-1.2383742310424701
T_8694327,moderate,5980,420,noNog,0.21357410030190502
T_1317670,strong,9850,35,noNog,0.35667494393773297
T_8742789,positive,10840,430,noNog,0.0995295953464017
T_4772629,grand,4520,490,noNog,0.585516516369285
T_8246321,traditional,9130,275,noNog,-0.829279354883691
T_4978701,inadequate,10260,365,noNog,-2.21101789946755
T_1014965,great,8330,385,noNog,0.199489360416958
T_2326307,clear,5110,320,noNog,-1.79802908224165
T_4978701,deep,9110,480,noNog,0.362905493689369
T_8694327,routine,4260,15,noNog,0.287682072449281
T_214669,familiar,6710,480,noNog,-1.56861591791544
T_4267653,good,1950,195,noNog,-1.3609765531366
T_5854614,radical,8890,100,noNog,0.693147180559945
T_162563,thin,6730,465,noNog,-2.74084002392455
T_65441,great,9400,475,noNog,0.233614851184005
T_1675902,tight,2960,255,noNog,-2.14006616349227
T_1752881,huge,9840,315,noNog,0.37865385065924706
T_6853480,excessive,850,375,noNog,0.18232155679395498
T_510223,adequate,4530,305,noNog,-1.11514159061937
T_5659439,fine,4620,145,noNog,-0.5947071077467551
T_6720730,usual,7280,155,noNog,-0.25593337413732503
T_9040925,competitive,2310,100,noNog,0.33647223662121306
T_8742789,major,4950,435,noNog,0.6988778552671588
T_2373018,broad,2610,225,noNog,0.9640221346944979
T_6979146,narrow,1000,295,noNog,-1.6979913097735102
T_551321,valuable,1850,125,noNog,1.02961941718116
T_2187949,big,4700,295,noNog,0.304489190768287
T_9591156,major,2550,430,noNog,0.8927602344654849
T_12027,disappointing,8320,260,noNog,-2.15948424935004
T_9289161,important,3370,355,noNog,0.5736020299079411
T_5816436,moderate,900,310,noNog,-0.0327898228228573
T_7294921,favorable,4470,150,noNog,0.427444014824766
T_4031111,nice,8140,160,noNog,2.2204460492503099e-16
T_65441,substantial,5140,355,noNog,0.25910870000979
T_143993,powerful,4230,275,noNog,0.22677331936841197
T_5296932,comfortable,6780,405,noNog,-0.0796312696925016
T_3057786,bullish,7490,480,noNog,-0.437213806423261
T_330915,weak,6890,55,noNog,-1.7047480922394198
T_8820227,clear,1600,325,noNog,0.0741079721508649
T_2160787,liberal,4040,375,noNog,0.26338937988017497
T_5896210,tiny,6540,460,noNog,-2.03688192725871
T_65441,obvious,8870,405,noNog,0.0598981415794413
T_4301390,severe,5450,200,noNog,0.454255272277596
T_776234,legitimate,7790,145,noNog,-0.276253376628385
T_6630299,clear,2020,340,noNog,-0.39086630868744604
T_9813376,familiar,4450,495,noNog,0.0100503358525017
T_3294681,substantial,780,15,noNog,0.427444014824766
T_7511839,fundamental,5930,410,noNog,-1.76766191764942
T_5895235,acceptable,1290,445,noNog,-0.750966751447819
T_1602331,thin,7230,125,noNog,-0.9162907318741541
T_593930,significant,5290,140,noNog,0.40546510810816494
T_6720730,thin,460,160,noNog,-1.38629436111989
T_2373018,rare,700,135,noNog,1.30933331998276
T_4046855,broad,5910,475,noNog,-0.197168064910885
T_2257827,competitive,2570,10,noNog,0.693147180559945
T_6453084,critical,3220,10,noNog,2.2204460492503099e-16
T_6678082,bearish,6360,165,noNog,-0.0060790460767783105
T_8742789,adequate,8190,180,noNog,-0.325422400434935
T_9778010,moderate,660,200,noNog,2.2204460492503099e-16
T_7270876,intense,2960,380,noNog,0.5520685822982221
T_4394973,critical,2120,170,noNog,0.7911275889196159
T_9924870,valuable,5970,240,noNog,0.318453731118535
T_9192623,narrow,5470,425,noNog,-4.66579480780475
T_3436294,low,1760,390,noNog,-2.27726728501075
T_4286557,dramatic,2790,20,noNog,0.693147180559945
T_7873203,reasonable,7570,375,noNog,0.345950980573398
T_1891047,promising,3500,430,noNog,0.693147180559945
T_4286557,favorable,5850,45,noNog,0.105360515656827
T_6678082,fair,4100,265,noNog,-0.51082562376599
T_143993,serious,6000,455,noNog,0.27663223626419603
T_4267653,dramatic,2910,385,noNog,0.426879202613591
T_5611642,positive,3970,225,noNog,0.0851578083413274
T_4394973,legitimate,2540,465,noNog,0.194788325558377
T_510223,remarkable,5580,140,noNog,0.451985123743966
T_5623478,clear,9020,115,noNog,-0.496436886313748
T_9031208,nice,7550,260,noNog,-0.550046336919405
T_1828022,appropriate,9970,470,noNog,-2.7515353130426097
T_9305725,great,8760,290,noNog,0.41689380393156
T_7023781,extensive,8430,50,noNog,1.22377543162212
