turker,adjective,mean,onestdev,had_negative,logrespdev
T_8246321,considerable,7720,420,noNog,-0.0363676441705784
T_2087193,considerable,6100,450,noNog,0.105360515656827
T_2932006,considerable,2020,495,noNog,1.09523960418981
T_8231233,considerable,5080,240,noNog,0.287682072449281
T_4412363,considerable,8320,425,noNog,0.310938934613893
T_9192623,considerable,7280,255,noNog,0.7125652664148359
T_4968619,considerable,4200,495,noNog,0.4800539650982371
T_7065854,considerable,3610,415,noNog,-0.35839759725002296
T_1105737,considerable,7390,165,noNog,0.630626823579741
T_792249,considerable,7670,60,noNog,0.77318988823502
T_6791530,considerable,2820,185,noNog,0.7835312420285849
T_4772629,considerable,6330,90,noNog,1.09861228866811
T_8163155,considerable,9710,420,noNog,-0.37037378829716994
T_6585464,considerable,6170,75,noNog,1.12059119538797
T_357568,considerable,8870,35,noNog,0.39589565708912894
T_3742702,considerable,10540,305,noNog,0.607625007121516
T_5854614,conventional,1320,330,noNog,-0.606135803569482
T_5816436,conventional,2020,45,noNog,0.105360515656827
T_4031111,conventional,840,110,noNog,-1.01160091167948
T_5061892,conventional,8120,290,noNog,0.270290329742807
T_593930,conventional,9980,95,noNog,-1.5581446180488
T_9558682,conventional,4190,325,noNog,-0.7086513670952851
T_611790,conventional,10790,470,noNog,0.41253227532970793
T_9835746,conventional,6090,40,noNog,-1.38629436111989
T_8694327,conventional,9740,395,noNog,-0.418204133885998
T_7639140,conventional,7040,105,noNog,-0.0487901641693818
T_218756,conventional,1900,65,noNog,-0.262364264467191
T_1317670,conventional,6270,290,noNog,-1.57553636075908
T_9778010,conventional,6440,240,noNog,-0.405465108107664
T_9031208,conventional,5670,135,noNog,0.532804530482592
T_4706686,conventional,1350,455,noNog,-1.10966212485569
T_6876899,conventional,8080,195,noNog,-0.485507815781075
T_5697654,conventional,5930,475,noNog,-1.02751636698467
T_2236218,conventional,2890,115,noNog,-1.34373474670259
T_4852781,conventional,4700,360,noNog,0.105360515656827
T_1463251,conventional,4770,390,noNog,-1.0986122886691099
T_9924870,conventional,5180,270,noNog,-1.6863989535712298
T_5564614,conventional,4260,340,noNog,-1.5804503755616999
T_2160787,conventional,1720,55,noNog,-0.0953101798042246
T_3155096,conventional,1240,50,noNog,-1.6094379124341003
T_7023781,conventional,7800,310,noNog,-0.43825493093050505
T_5895235,conventional,10180,425,noNog,-0.146727320869506
T_4455068,conventional,7320,110,noNog,0.16705408466470498
T_4196701,conventional,10160,110,noNog,-1.01160091167948
T_9274484,conventional,4560,255,noNog,-0.5996211225493709
T_1231887,conventional,5220,315,noNog,-0.559615787934672
T_3950237,conventional,9640,110,noNog,-0.606135803569482
T_551321,conventional,7870,25,noNog,0.18232155679395498
T_8633720,conventional,7070,210,noNog,-0.479573080261271
T_6177742,conventional,5270,20,noNog,-0.693147180559945
T_214669,conventional,4320,415,noNog,-0.8924800831801121
T_9636949,conventional,5190,485,noNog,-0.44757659345822604
T_9813376,conventional,7470,95,noNog,0.0512932943900508
T_2724315,conventional,1420,40,noNog,-0.287682072451781
T_1892719,conventional,1660,45,noNog,-0.11778303565625801
T_2257827,critical,3020,175,noNog,0.634306680534739
T_5826734,critical,9150,100,noNog,2.2204460492503099e-16
T_8894480,critical,2190,465,noNog,0.554996842078573
T_1771975,critical,7050,475,noNog,0.926762031739992
T_3757827,critical,7850,90,noNog,-0.587786664901319
T_6453084,critical,3220,10,noNog,2.2204460492503099e-16
T_6605231,critical,9560,325,noNog,0.67764299402359
T_94744,critical,8830,495,noNog,-1.06875932551943
T_5429916,critical,4580,280,noNog,0.40546510810816494
T_5896210,critical,790,345,noNog,0.721720553002664
T_6468097,critical,6180,5,noNog,0.693147180559945
T_330915,critical,5630,200,noNog,-0.51082562376599
T_9289161,critical,9310,385,noNog,0.653406851911512
T_3985992,critical,2610,330,noNog,0.581029882439917
T_7332968,critical,10340,455,noNog,0.0109290705331687
T_6987667,critical,10210,370,noNog,1.2488944917184601
T_4286557,critical,9950,100,noNog,0.40546510810816494
